pidlink,sex,age
003250007,3.0,21.0
003250009,3.0,16.0
003260001,1.0,59.0
003260003,1.0,31.0
003260004,1.0,29.0
003260005,3.0,26.0
003260006,1.0,25.0
003260008,3.0,18.0
003260009,3.0,51.0
003264102,3.0,29.0
003265102,3.0,28.0
003265202,1.0,27.0
003270001,1.0,56.0
003270002,3.0,55.0
003270003,1.0,21.0
003270004,1.0,18.0
003270006,3.0,22.0
003280001,1.0,54.0
003280002,3.0,48.0
003280003,1.0,27.0
003280005,1.0,24.0
003290001,1.0,51.0
003290002,3.0,47.0
003290003,1.0,27.0
003290005,1.0,21.0
003290006,3.0,17.0
003294106,3.0,25.0
003300003,3.0,57.0
004010002,3.0,47.0
004010003,1.0,25.0
004010005,1.0,19.0
004020002,3.0,46.0
004020005,1.0,27.0
004020007,3.0,24.0
004020008,3.0,22.0
004020009,1.0,21.0
004024104,3.0,28.0
004025201,1.0,33.0
004030001,1.0,62.0
004030003,3.0,41.0
004030008,1.0,24.0
004030009,1.0,44.0
004030010,1.0,20.0
004030011,1.0,18.0
004032109,3.0,23.0
004035102,3.0,51.0
004035103,1.0,17.0
004040002,3.0,57.0
004040003,1.0,33.0
004040006,3.0,27.0
004040008,1.0,21.0
004040011,3.0,35.0
004045102,1.0,29.0
004050001,1.0,50.0
004050002,3.0,45.0
004050003,3.0,21.0
004050004,3.0,19.0
004050005,3.0,18.0
004050006,1.0,17.0
004055102,1.0,28.0
004060001,1.0,66.0
004060002,3.0,64.0
004060003,1.0,34.0
004060004,1.0,31.0
004060005,1.0,29.0
004060007,1.0,69.0
004065102,3.0,29.0
004065202,3.0,36.0
004065302,3.0,35.0
004070002,3.0,49.0
004070005,3.0,39.0
004070007,1.0,34.0
004070008,3.0,28.0
004070009,3.0,27.0
004070012,3.0,23.0
004073101,1.0,52.0
004090003,3.0,41.0
004090007,1.0,41.0
004090008,3.0,42.0
004100001,3.0,64.0
004100002,1.0,43.0
004100003,3.0,37.0
004100004,1.0,35.0
004100005,1.0,33.0
004100006,1.0,30.0
004100008,3.0,28.0
004100009,1.0,24.0
004100010,3.0,18.0
004102101,1.0,41.0
004102104,3.0,16.0
004103102,3.0,41.0
004103103,1.0,17.0
004103104,1.0,15.0
004104102,3.0,32.0
004104202,3.0,31.0
004105102,3.0,25.0
004105202,1.0,37.0
004110003,1.0,35.0
004111103,3.0,32.0
004130001,1.0,76.0
004130002,3.0,75.0
004130003,1.0,33.0
004130004,1.0,31.0
004130005,3.0,36.0
004130006,3.0,17.0
004130007,1.0,15.0
004132102,3.0,32.0
004134101,1.0,50.0
004140001,1.0,61.0
004140002,3.0,61.0
004140004,1.0,33.0
004140005,1.0,30.0
004140006,1.0,27.0
004140007,3.0,24.0
004140011,3.0,23.0
004144102,3.0,33.0
004150003,1.0,46.0
004150004,3.0,47.0
004150005,3.0,20.0
004150007,3.0,16.0
004160001,1.0,48.0
004160002,3.0,50.0
004160003,1.0,26.0
004160004,3.0,25.0
004160005,1.0,21.0
004170004,1.0,73.0
004170005,3.0,63.0
004170006,1.0,40.0
004170007,3.0,26.0
004180001,1.0,51.0
004190002,3.0,59.0
004190003,1.0,29.0
004194102,3.0,27.0
004200001,1.0,48.0
004200002,3.0,45.0
004200003,3.0,22.0
004200004,1.0,22.0
004220001,1.0,66.0
004220003,1.0,36.0
004220004,3.0,33.0
004220006,3.0,28.0
004225102,3.0,35.0
004230001,1.0,68.0
004230002,3.0,69.0
004230003,3.0,32.0
004232102,1.0,36.0
004240001,1.0,64.0
004240002,3.0,63.0
004240004,3.0,34.0
004240006,1.0,28.0
004242202,1.0,37.0
004250001,1.0,74.0
004250003,1.0,40.0
004253102,3.0,40.0
004260002,3.0,56.0
004260005,1.0,35.0
004260006,1.0,32.0
004260008,1.0,20.0
004260015,3.0,24.0
004264202,3.0,32.0
004270001,1.0,44.0
004270004,1.0,22.0
004270006,1.0,18.0
004274103,1.0,16.0
004274105,3.0,37.0
004280001,1.0,80.0
004280004,3.0,33.0
004280007,3.0,15.0
004290001,1.0,64.0
004290002,3.0,60.0
004290004,3.0,32.0
004290005,1.0,30.0
004295102,3.0,22.0
004300005,3.0,40.0
004302201,1.0,52.0
004302205,3.0,15.0
005010002,3.0,87.0
005010003,1.0,48.0
005010004,3.0,57.0
005010005,1.0,54.0
005013102,3.0,41.0
005030001,3.0,51.0
005030002,3.0,29.0
005030003,1.0,17.0
005030006,3.0,15.0
005034101,1.0,34.0
005040004,1.0,32.0
005040005,1.0,30.0
005043103,3.0,36.0
005044107,3.0,23.0
005044202,3.0,28.0
005050001,1.0,57.0
005050002,3.0,56.0
005050003,1.0,16.0
005060001,1.0,56.0
005060002,3.0,49.0
005060003,1.0,33.0
005060004,3.0,29.0
005060007,1.0,16.0
005064101,1.0,36.0
005065102,3.0,24.0
005070001,1.0,65.0
005070002,3.0,59.0
005080002,1.0,63.0
005080003,3.0,59.0
005090001,1.0,70.0
005090002,3.0,64.0
005090005,1.0,40.0
005090010,3.0,22.0
005090011,1.0,17.0
005090015,3.0,16.0
005094101,1.0,27.0
005095102,3.0,31.0
005095201,1.0,26.0
005100001,1.0,48.0
005100002,3.0,52.0
005100003,3.0,27.0
005100005,1.0,21.0
005104101,1.0,27.0
005110003,1.0,48.0
005110004,1.0,59.0
005110005,3.0,54.0
005110006,3.0,26.0
005110008,1.0,32.0
005111102,3.0,44.0
005111104,3.0,16.0
005130002,3.0,44.0
005130003,1.0,24.0
005130005,3.0,78.0
005130006,1.0,31.0
005130008,1.0,19.0
005130012,3.0,19.0
005130013,1.0,22.0
005131203,3.0,35.0
005134101,1.0,52.0
005135102,3.0,19.0
005140001,1.0,68.0
005140002,3.0,63.0
005140003,3.0,40.0
005140005,3.0,32.0
005140006,3.0,30.0
005140007,1.0,28.0
005143101,1.0,39.0
005144101,1.0,32.0
005144201,1.0,32.0
005145103,3.0,28.0
005150001,1.0,45.0
005150002,3.0,44.0
005150003,1.0,17.0
005160001,1.0,54.0
005160002,3.0,51.0
005160003,3.0,32.0
005160004,3.0,30.0
005160005,1.0,29.0
005160006,1.0,23.0
005160007,3.0,20.0
005164101,1.0,43.0
