iter	Passed	Remaining
413	3322	4702
414	3329	4693
415	3337	4684
416	3345	4676
417	3352	4668
418	3360	4659
419	3367	4650
420	3374	4640
421	3382	4632
422	3388	4622
423	3396	4613
424	3403	4605
425	3410	4595
426	3417	4586
427	3424	4576
428	3431	4567
429	3438	4558
430	3446	4549
431	3453	4540
432	3460	4530
433	3466	4521
434	3473	4511
435	3480	4502
436	3487	4492
437	3494	4483
438	3503	4477
439	3517	4476
440	3525	4468
441	3535	4462
442	3543	4455
443	3552	4448
444	3562	4443
445	3575	4441
446	3584	4434
447	3592	4426
448	3603	4421
449	3611	4413
450	3618	4405
451	3626	4397
452	3634	4388
453	3642	4380
454	3650	4372
455	3659	4365
456	3667	4357
457	3674	4348
458	3682	4340
459	3692	4334
460	3699	4325
461	3707	4317
462	3715	4309
463	3725	4303
464	3732	4294
465	3740	4286
466	3750	4280
467	3763	4278
468	3772	4270
469	3780	4263
470	3790	4256
471	3797	4247
472	3805	4239
473	3812	4230
474	3820	4222
475	3828	4214
476	3837	4207
477	3845	4199
478	3853	4191
479	3860	4182
480	3868	4173
481	3878	4168
482	3886	4160
483	3894	4151
484	3901	4142
485	3908	4134
486	3917	4127
487	3927	4120
488	3935	4112
489	3943	4104
490	3951	4096
491	3959	4088
492	3967	4080
493	3975	4071
494	3983	4063
495	3990	4054
496	3997	4046
497	4005	4037
498	4012	4028
499	4020	4020
500	4028	4012
501	4036	4003
502	4043	3995
503	4051	3987
504	4060	3979
505	4068	3971
506	4076	3963
507	4083	3955
508	4091	3947
509	4099	3938
510	4109	3932
511	4116	3923
512	4124	3915
513	4133	3908
514	4141	3900
515	4149	3892
516	4157	3884
517	4165	3876
518	4175	3870
519	4183	3861
520	4191	3853
521	4199	3845
522	4207	3837
523	4215	3829
524	4224	3822
525	4232	3814
526	4240	3806
527	4248	3797
528	4256	3789
529	4263	3781
530	4271	3772
531	4279	3764
532	4286	3756
533	4294	3747
534	4303	3740
535	4311	3732
536	4319	3724
537	4327	3716
538	4336	3709
539	4344	3700
540	4353	3694
541	4362	3686
542	4371	3679
543	4379	3671
544	4388	3663
545	4396	3656
546	4404	3647
547	4412	3639
548	4421	3632
549	4430	3624
550	4437	3616
551	4445	3608
552	4454	3600
553	4463	3593
554	4472	3585
555	4479	3577
556	4487	3569
557	4496	3561
558	4508	3556
559	4517	3549
560	4526	3542
561	4535	3534
562	4544	3527
563	4553	3520
564	4563	3513
565	4575	3508
566	4586	3502
567	4595	3495
568	4604	3487
569	4613	3480
570	4620	3471
571	4630	3465
572	4639	3457
573	4648	3449
574	4657	3442
575	4665	3433
576	4672	3425
577	4679	3416
578	4687	3408
579	4694	3399
580	4701	3390
581	4707	3381
582	4714	3372
583	4721	3363
584	4728	3354
585	4734	3345
586	4741	3336
587	4748	3327
588	4755	3318
589	4763	3310
590	4771	3301
591	4778	3292
592	4784	3283
593	4791	3275
594	4798	3266
595	4805	3257
596	4812	3248
597	4819	3239
598	4826	3231
599	4833	3222
600	4840	3213
601	4848	3205
602	4855	3196
603	4862	3187
604	4870	3179
605	4877	3171
606	4884	3162
607	4890	3153
608	4898	3144
609	4916	3143
610	4936	3142
611	4950	3138
612	4957	3129
613	4970	3125
614	4978	3116
615	4985	3107
616	4992	3099
617	4999	3090
618	5006	3081
619	5014	3073
620	5021	3064
621	5028	3056
622	5036	3047
623	5044	3039
624	5053	3032
625	5060	3023
626	5068	3015
627	5076	3006
628	5084	2998
629	5091	2990
630	5101	2983
631	5109	2974
632	5116	2966
633	5123	2957
634	5130	2949
635	5138	2940
636	5146	2932
637	5155	2925
638	5164	2917
639	5173	2909
640	5180	2901
641	5188	2893
642	5196	2885
643	5204	2876
644	5211	2868
645	5220	2860
646	5227	2852
647	5234	2843
648	5241	2834
649	5249	2826
650	5256	2818
651	5263	2809
652	5271	2800
653	5278	2792
654	5285	2784
655	5293	2775
656	5300	2767
657	5307	2758
658	5315	2750
659	5322	2741
660	5330	2733
661	5337	2725
662	5344	2716
663	5351	2708
664	5359	2699
665	5366	2691
666	5373	2682
667	5380	2674
668	5387	2665
669	5394	2656
670	5401	2648
671	5408	2639
672	5415	2631
673	5423	2623
674	5430	2614
675	5437	2606
676	5444	2597
677	5452	2589
678	5459	2581
679	5466	2572
680	5473	2564
681	5480	2555
682	5488	2547
683	5496	2539
684	5502	2530
685	5510	2522
686	5518	2514
687	5526	2506
688	5533	2497
689	5541	2489
690	5548	2481
691	5556	2472
692	5563	2464
693	5570	2456
694	5578	2448
695	5585	2439
696	5593	2431
697	5601	2423
698	5608	2415
699	5616	2407
700	5625	2399
701	5633	2391
702	5640	2382
703	5647	2374
704	5654	2366
705	5662	2358
706	5670	2349
707	5678	2341
708	5685	2333
709	5696	2326
710	5703	2318
711	5711	2310
712	5719	2302
713	5728	2294
714	5737	2286
715	5745	2279
716	5753	2271
717	5761	2262
718	5769	2254
719	5779	2247
720	5788	2240
721	5799	2232
722	5807	2225
723	5816	2217
724	5826	2209
725	5836	2202
726	5845	2194
727	5853	2187
728	5862	2179
729	5871	2171
730	5880	2163
731	5889	2156
732	5898	2148
733	5908	2141
734	5916	2133
735	5925	2125
736	5933	2117
737	5946	2111
738	5957	2104
739	5966	2096
740	5974	2088
741	5983	2080
742	5990	2072
743	5997	2063
744	6005	2055
745	6012	2047
746	6020	2038
747	6028	2030
748	6036	2022
749	6044	2014
750	6051	2006
751	6058	1998
752	6066	1989
753	6073	1981
754	6080	1973
755	6088	1965
756	6096	1956
757	6103	1948
758	6110	1940
759	6117	1931
760	6124	1923
761	6131	1915
762	6138	1906
763	6146	1898
764	6153	1890
765	6160	1881
766	6168	1873
767	6175	1865
768	6183	1857
769	6191	1849
770	6199	1841
771	6207	1833
772	6214	1825
773	6222	1816
774	6229	1808
775	6236	1800
776	6243	1791
777	6250	1783
778	6257	1775
779	6265	1767
780	6272	1758
781	6279	1750
782	6286	1742
783	6294	1734
784	6301	1725
785	6309	1717
786	6317	1709
787	6325	1701
788	6333	1693
789	6343	1686
790	6351	1678
791	6358	1669
792	6366	1661
793	6373	1653
794	6380	1645
795	6387	1637
796	6395	1629
797	6402	1620
798	6410	1612
799	6417	1604
800	6425	1596
801	6432	1588
802	6439	1579
803	6446	1571
804	6453	1563
805	6460	1555
806	6467	1546
807	6474	1538
808	6482	1530
809	6490	1522
810	6497	1514
811	6504	1506
812	6512	1497
813	6519	1489
814	6527	1481
815	6536	1473
816	6543	1465
817	6551	1457
818	6559	1449
819	6567	1441
820	6575	1433
821	6584	1425
822	6591	1417
823	6599	1409
824	6607	1401
825	6615	1393
826	6623	1385
827	6632	1377
828	6640	1369
829	6648	1361
830	6656	1353
831	6664	1345
832	6672	1337
833	6679	1329
834	6687	1321
835	6694	1313
836	6701	1305
837	6708	1296
838	6715	1288
839	6723	1280
840	6731	1272
841	6739	1264
842	6747	1256
843	6754	1248
844	6762	1240
845	6769	1232
846	6776	1224
847	6783	1215
848	6790	1207
849	6798	1199
850	6805	1191
851	6812	1183
852	6820	1175
853	6827	1167
854	6835	1159
855	6843	1151
856	6851	1143
857	6859	1135
858	6866	1127
859	6876	1119
860	6883	1111
861	6891	1103
862	6898	1095
863	6906	1087
864	6913	1079
865	6921	1071
866	6929	1062
867	6936	1054
868	6943	1046
869	6950	1038
870	6958	1030
871	6965	1022
872	6972	1014
873	6981	1006
874	6988	998
875	6996	990
876	7003	982
877	7011	974
878	7018	966
879	7026	958
880	7033	950
881	7042	942
882	7050	934
883	7060	926
884	7068	918
885	7077	910
886	7085	902
887	7093	894
888	7101	886
889	7109	878
890	7116	870
891	7126	862
892	7134	854
893	7143	846
894	7151	838
895	7158	830
896	7166	822
897	7174	814
898	7182	806
899	7190	798
900	7199	791
901	7216	784
902	7223	775
903	7231	767
904	7239	759
905	7247	751
906	7254	743
907	7264	736
908	7272	728
909	7281	720
910	7290	712
911	7299	704
912	7309	696
913	7318	688
914	7328	680
915	7339	673
916	7348	665
917	7357	657
918	7364	649
919	7372	641
920	7381	633
921	7389	625
922	7397	617
923	7406	609
924	7414	601
925	7423	593
926	7431	585
927	7438	577
928	7446	569
929	7454	561
930	7462	553
931	7470	545
932	7476	536
933	7484	528
934	7491	520
935	7499	512
936	7507	504
937	7514	496
938	7523	488
939	7530	480
940	7538	472
941	7545	464
942	7553	456
943	7561	448
944	7568	440
945	7576	432
946	7584	424
947	7592	416
948	7599	408
949	7607	400
950	7615	392
951	7622	384
952	7630	376
953	7637	368
954	7645	360
955	7653	352
956	7660	344
957	7668	336
958	7675	328
959	7680	320
960	7687	311
961	7694	303
962	7701	295
963	7707	287
964	7715	279
965	7722	271
966	7729	263
967	7736	255
968	7743	247
969	7751	239
970	7758	231
971	7765	223
972	7772	215
973	7780	207
974	7787	199
975	7794	191
976	7801	183
977	7808	175
978	7815	167
979	7822	159
980	7830	151
981	7839	143
982	7848	135
983	7856	127
984	7864	119
985	7872	111
986	7880	103
987	7888	95
988	7896	87
989	7903	79
990	7912	71
991	7920	63
992	7928	55
993	7936	47
994	7944	39
995	7954	31
996	7962	23
997	7970	15
998	7978	7
999	7986	0
