iter	Logloss
271	0.5411192101
272	0.5410722243
273	0.5410335333
274	0.5409469124
275	0.540889412
276	0.5408379333
277	0.540813495
278	0.5407500587
279	0.5406838092
280	0.5406027346
281	0.5405070647
282	0.5404543527
283	0.5404009702
284	0.5403511
285	0.5402850087
286	0.5402221671
287	0.5401506843
288	0.5400792727
289	0.5400113655
290	0.5399698381
291	0.5399193594
292	0.5398637192
293	0.5398494019
294	0.5398087734
295	0.5397530662
296	0.5396919524
297	0.5396381048
298	0.5395731662
299	0.5395316932
300	0.5394790195
301	0.5394250032
302	0.5392911385
303	0.539252789
304	0.5391651006
305	0.5391076629
306	0.5390745707
307	0.5390547968
308	0.5390250755
309	0.5389752988
310	0.5388982915
311	0.5387826108
312	0.5387578236
313	0.5387106157
314	0.5386352745
315	0.5385639253
316	0.5385205988
317	0.5384513506
318	0.5384102506
319	0.5383321333
320	0.5383203165
321	0.5382716164
322	0.5381908569
323	0.5381256882
324	0.5380669322
325	0.5380121763
326	0.5379094885
327	0.5378500388
328	0.5377973997
329	0.537782009
330	0.5377014473
331	0.5376578902
332	0.5376121962
333	0.537599181
334	0.5375257596
335	0.5374327576
336	0.5373759887
337	0.5373201176
338	0.5372725147
339	0.5371877302
340	0.5371218909
341	0.5370226644
342	0.5369702707
343	0.5368933191
344	0.5367743279
345	0.5367321362
346	0.53666433
347	0.5366130844
348	0.536542817
349	0.5364694672
350	0.5363328746
351	0.5362721467
352	0.5362172313
353	0.5361776421
354	0.5361390322
355	0.5360653653
356	0.5360024798
357	0.5359485246
358	0.5358563426
359	0.5358088281
360	0.5357579876
361	0.5357142424
362	0.5356747353
363	0.5356358356
364	0.5355876769
365	0.5355601779
366	0.5355107966
367	0.5354838647
368	0.5353979706
369	0.5353084067
370	0.5352790872
371	0.5352395457
372	0.5351790838
373	0.5351438164
374	0.5351070957
375	0.5350421865
376	0.5349771279
377	0.5348815364
378	0.5348434961
379	0.5348008015
380	0.5347640365
381	0.5346851272
382	0.5346153102
383	0.5345757786
384	0.5345152239
385	0.5344700882
386	0.5344124691
387	0.5343598975
388	0.5343097293
389	0.5342581847
390	0.5342121709
391	0.5341668636
392	0.5341066835
393	0.5340545429
394	0.5340070051
395	0.533969011
396	0.533895438
397	0.5338447651
398	0.5337956449
399	0.5337362086
400	0.5336838569
401	0.5336265235
402	0.5335715908
403	0.5335367047
404	0.5335113436
405	0.5334521553
406	0.5334190235
407	0.5333763794
408	0.5333435074
409	0.5333059113
410	0.5332756495
411	0.5332396681
412	0.5331891673
413	0.5331427129
414	0.53307106
415	0.5329986019
416	0.532936724
417	0.5328794686
418	0.5328264355
419	0.5327858788
420	0.5327215228
421	0.5326591281
422	0.5326580597
423	0.5326043387
424	0.5325484526
425	0.5325147958
426	0.5324500505
427	0.5324183819
428	0.5323853434
429	0.532358296
430	0.5322865916
431	0.5322404583
432	0.5322141224
433	0.5321501842
434	0.5320904794
435	0.5320533251
436	0.5320260256
437	0.5319710456
438	0.5319283478
439	0.5318866219
440	0.5318641984
441	0.5318168714
442	0.5317963617
443	0.531752104
444	0.5316790539
445	0.5316161397
446	0.5315640989
447	0.5315340844
448	0.5314802787
449	0.5314234168
450	0.5313667423
451	0.5313330389
452	0.5312725786
453	0.5312070089
454	0.53117398
455	0.5310986302
456	0.5310564849
457	0.5309940336
458	0.5309507229
459	0.530893037
460	0.5308355933
461	0.5308048788
462	0.5307266926
463	0.5306883073
464	0.5306431301
465	0.5306010544
466	0.5305637192
467	0.5305163241
468	0.5304614069
469	0.5303850563
470	0.5303441699
471	0.5303095183
472	0.5302489851
473	0.5301805426
474	0.5301332762
475	0.5300690176
476	0.5300526696
477	0.5300253206
478	0.5299992914
479	0.529980523
480	0.5299516708
481	0.5298887521
482	0.5298690716
483	0.5298203537
484	0.5297632262
485	0.5297323082
486	0.5296811974
487	0.5296676263
488	0.5296336778
489	0.5296025114
490	0.5295486374
491	0.5294982448
492	0.5294536602
493	0.5293924019
494	0.5293218889
495	0.529281326
496	0.5292329694
497	0.5291583846
498	0.5291104639
499	0.5290316967
500	0.5289711111
501	0.5289282084
502	0.5288899544
503	0.5288294963
504	0.5287352256
505	0.5287044381
506	0.5286426667
507	0.5286043149
508	0.5285704692
509	0.5285307506
510	0.528481332
511	0.5283951693
512	0.5283595563
513	0.5283186626
514	0.5282613179
515	0.5282225151
516	0.5281391743
517	0.5280724469
518	0.5280142755
519	0.5279639077
520	0.5279322657
521	0.5278881293
522	0.5278308697
523	0.5277846556
524	0.5277557837
525	0.5276916253
526	0.5276524575
527	0.5276003402
528	0.5275423863
529	0.5275007096
530	0.527438759
531	0.5273999215
532	0.5273371198
533	0.527258092
534	0.5271871728
535	0.5271353954
536	0.5270913356
537	0.5270236523
538	0.5269664796
539	0.5269022991
540	0.5268469696
541	0.526791215
542	0.5267350545
543	0.5266893159
544	0.5266531347
545	0.5266050853
546	0.5265265552
547	0.5264779996
548	0.5264025789
549	0.5263626776
550	0.5263236562
551	0.5262341452
552	0.5262039505
553	0.5261507915
554	0.526122563
555	0.5260698761
556	0.5260111878
557	0.5259680259
558	0.5259182716
559	0.5258478299
560	0.5257925643
561	0.5257692956
562	0.5256998845
563	0.5256486675
564	0.5255904508
565	0.5255479705
566	0.525484909
567	0.5254575427
568	0.525387713
569	0.5253212636
570	0.5252544888
571	0.5251991572
572	0.5251635131
573	0.5251151365
574	0.5250596825
575	0.5250168096
576	0.524968151
577	0.5249325738
578	0.524861082
579	0.5247917219
580	0.5247481343
581	0.5247024993
582	0.5246657465
583	0.5246156124
584	0.5245605346
585	0.5245132362
586	0.5244316807
587	0.5244016587
588	0.5243496522
589	0.5242752654
590	0.5242320404
591	0.5241837765
592	0.5241217349
593	0.5240699723
594	0.5240549891
595	0.5240205746
596	0.5239609269
597	0.5239234144
598	0.5238764803
599	0.5238351925
600	0.5237660193
601	0.5237088215
602	0.5236582856
603	0.5236288563
604	0.5235529491
605	0.52350008
606	0.5234619477
607	0.5234240194
608	0.5234031687
609	0.5233653198
610	0.5233241616
611	0.5232433736
612	0.5231907807
613	0.523136937
614	0.5231025162
615	0.5230526602
616	0.5230021623
617	0.5229358889
618	0.5228796957
619	0.5228202887
620	0.5227812234
621	0.5227304704
622	0.5226920332
623	0.522660942
624	0.5225947753
625	0.5225418027
626	0.5225016929
627	0.5224706131
628	0.5224231955
629	0.5223730823
630	0.5223436022
631	0.522303489
632	0.5222451394
633	0.5221859671
634	0.5221643463
635	0.5221089244
636	0.5220665394
637	0.5220204424
638	0.5219598084
639	0.5219045042
640	0.5218635182
641	0.5218268169
642	0.5217652585
643	0.521737746
644	0.5217203427
645	0.5216827472
646	0.5216303569
647	0.5215858618
648	0.5215328703
649	0.5214645829
650	0.5214285671
651	0.5214015026
652	0.5213332711
653	0.5212928469
654	0.5212462442
655	0.5211800229
656	0.5211226271
657	0.5210732098
658	0.5210304876
659	0.5209974174
660	0.5209593071
661	0.5209154394
662	0.5208862881
663	0.5208412944
664	0.5207750814
665	0.520727841
666	0.5206863772
667	0.5206253419
668	0.5205897845
669	0.5205680621
670	0.5205195045
671	0.5204746054
672	0.5204282163
673	0.5203807767
674	0.5203418904
675	0.520295989
676	0.5202430917
677	0.5201750131
678	0.5201314648
679	0.5200518196
680	0.5199789679
681	0.5199696701
682	0.5199085731
683	0.5198419487
684	0.5197840852
685	0.5197457633
686	0.519708064
687	0.5196731213
688	0.5196261111
689	0.5195609662
690	0.5195034433
691	0.5194341579
692	0.519385274
693	0.519350609
694	0.5193251003
695	0.5192702013
696	0.5191971816
697	0.5191725566
698	0.5191241582
699	0.519067114
700	0.5190143057
701	0.5189506229
702	0.5189062001
703	0.5188552647
704	0.5188000464
705	0.518765294
706	0.5187087937
707	0.51865899
708	0.518612934
709	0.5185538857
710	0.5185183279
711	0.5184622296
712	0.5184326838
713	0.5184011724
714	0.5183305538
715	0.5182834267
716	0.5182162362
717	0.5181704954
718	0.518134391
719	0.5180729129
720	0.518050991
721	0.5180063599
722	0.51796684
723	0.517929102
724	0.5178808341
725	0.5178236029
726	0.5177532746
727	0.5176854711
728	0.5176486206
729	0.5176082658
730	0.5175802741
731	0.5175239341
732	0.5174626091
733	0.5174376759
734	0.5173914319
735	0.5173406737
736	0.5172879132
737	0.5172278911
738	0.5171786996
739	0.5171290333
740	0.5171039583
741	0.5170456902
742	0.5169983312
743	0.5169361619
744	0.5168923735
745	0.5168578006
746	0.5168124819
747	0.5167569473
748	0.5167037501
749	0.5166409434
750	0.5166010669
751	0.5165856684
752	0.5165505254
753	0.5165117916
754	0.5164688448
755	0.5164365957
756	0.5163816526
757	0.5163463239
758	0.5162757773
759	0.5162320452
760	0.516183858
761	0.5161619485
762	0.5161156164
763	0.5160458413
764	0.5159989545
765	0.5159492391
766	0.5158888407
767	0.5158440771
768	0.5157949135
769	0.5157337096
770	0.5157088398
771	0.5156980317
772	0.5156546963
773	0.5156096429
774	0.5155842469
775	0.5155387634
776	0.5155065749
777	0.51545778
778	0.5154156227
779	0.515360622
780	0.515340065
781	0.515296429
782	0.515236763
783	0.5151764494
784	0.5151183116
785	0.5150794198
786	0.5150186576
787	0.5149668063
788	0.5149384271
789	0.5149118266
790	0.5148553618
791	0.5148125983
792	0.5147563348
793	0.5147130265
794	0.5146835741
795	0.5146245413
796	0.5145812311
797	0.5145426276
798	0.514500507
799	0.5144512491
800	0.5144299319
801	0.5144121846
802	0.5143680933
803	0.5143111782
804	0.5142633427
805	0.514231501
806	0.5141864275
807	0.5141719094
808	0.5141687842
809	0.5141098779
810	0.5140492579
811	0.5140069224
812	0.5139381576
813	0.5139043143
814	0.5138355547
815	0.5137990174
816	0.5137658516
817	0.5137322378
818	0.5137103633
819	0.5136538954
820	0.5136293996
821	0.5135766118
822	0.5135498807
823	0.5134871483
824	0.5134325751
825	0.513371738
826	0.5133658271
827	0.5133261548
828	0.5132505128
829	0.5132127547
830	0.5131769667
831	0.5131313998
832	0.5131258314
833	0.5131230845
834	0.5130731953
835	0.513043598
836	0.5130042564
837	0.5129747766
838	0.5129254781
839	0.5128892
840	0.51285673
841	0.5128261088
842	0.5128043244
843	0.5127753079
844	0.5127294758
845	0.5126892783
846	0.5126483474
847	0.5126394198
848	0.5126046874
849	0.5125580921
850	0.5124903417
851	0.5124612134
852	0.5123985818
853	0.5123533651
854	0.5123233129
855	0.5123045249
856	0.5122685375
857	0.512210677
858	0.5121707375
859	0.5121495727
860	0.5121005073
861	0.512080267
862	0.5120461677
863	0.5119966319
864	0.5119648472
865	0.5119451527
866	0.5119232731
867	0.5119099609
868	0.5118669098
869	0.5118348628
870	0.5118000766
871	0.5117630898
872	0.5117423535
873	0.5116981356
874	0.5116879086
875	0.5116602401
876	0.5116059619
877	0.5115439676
878	0.5115119147
879	0.5114422447
880	0.5114141029
881	0.5113514973
882	0.5113007132
883	0.5112399836
884	0.5111868737
885	0.5111487319
886	0.5111211621
887	0.5110919337
888	0.5110753278
889	0.5110682901
890	0.5110646767
891	0.5110059129
892	0.510965389
893	0.5109297155
894	0.5108657613
895	0.5108242112
896	0.5107946609
897	0.5107650982
898	0.5107239557
899	0.5106796355
900	0.5106417965
901	0.5105980046
902	0.5105480854
903	0.5105140923
904	0.5104841036
905	0.5104010832
906	0.5103853165
907	0.5103802164
908	0.5103570167
909	0.5103413957
910	0.5102798236
911	0.5102267376
912	0.5102023951
913	0.5101727353
914	0.5101052115
915	0.5100683134
916	0.510007128
917	0.5099557521
918	0.5099548118
919	0.5099375901
920	0.5098961376
921	0.5098835571
922	0.5098699277
923	0.5098420876
924	0.5097962065
925	0.5097563881
926	0.5097242203
927	0.5096998887
928	0.5096548002
929	0.5096127256
930	0.5095603421
931	0.5095259132
932	0.5095256834
933	0.5094885572
934	0.5094778764
935	0.5094380389
936	0.5093882265
937	0.5093695267
938	0.5093359751
939	0.5093253807
940	0.5092778132
941	0.5092761737
942	0.5092397159
943	0.5092203064
944	0.5091931174
945	0.5091405837
946	0.509097821
947	0.5090541716
948	0.5089964779
949	0.5089701087
950	0.5089188069
951	0.5089145277
952	0.5088955214
953	0.5088449227
954	0.5088390757
955	0.5087955772
956	0.5087866241
957	0.508772983
958	0.5087395592
959	0.5087394138
960	0.5086862581
961	0.5086731655
962	0.5086308072
963	0.508585582
964	0.5085405828
965	0.5085079246
966	0.5084851777
967	0.5084537972
968	0.5084461986
969	0.5084008708
970	0.5083588826
971	0.5083208988
972	0.5082906726
973	0.5082542115
974	0.5082505713
975	0.5081825384
976	0.508138147
977	0.5081157057
978	0.5081045217
979	0.5080713479
980	0.5080580787
981	0.5080553695
982	0.5080201905
983	0.5079830694
984	0.5079454775
985	0.5079076678
986	0.5078508963
987	0.5078094504
988	0.5077322813
989	0.5077305251
990	0.5076905766
991	0.5076529442
992	0.5076128109
993	0.5075477453
994	0.5075065547
995	0.5074580606
996	0.5074460902
997	0.5073981165
998	0.507346163
999	0.5073004761
